cancer_type,gender,age_group,prevalence
Bladder,Female,10-14,0.001
Bladder,Male,10-14,0.001
Blood,Female,10-14,0.343
Blood,Male,10-14,0.535
Bone tissue sarcoma,Female,10-14,0.074
Bone tissue sarcoma,Male,10-14,0.071
Brain,Female,10-14,0.281
Brain,Male,10-14,0.326
Colorectal,Female,10-14,0.004
Colorectal,Male,10-14,0.004
Head and neck,Female,10-14,0.015
Head and neck,Male,10-14,0.016
Kidney,Female,10-14,0.031
Kidney,Male,10-14,0.014
Liver and biliary tract,Female,10-14,0.001
Liver and biliary tract,Male,10-14,0.006
Melanoma,Female,10-14,0.01
Melanoma,Male,10-14,0.008
Neuroendocrine,Female,10-14,0.003
Neuroendocrine,Male,10-14,0.004
Non small cell lung cancer,Female,10-14,0.003
Non small cell lung cancer,Male,10-14,0.003
Ovary,Female,10-14,0.042
Pancreas,Female,10-14,0.002
Pancreas,Male,10-14,0.001
Soft tissue sarcoma,Female,10-14,0.071
Soft tissue sarcoma,Male,10-14,0.06
Stomach,Female,10-14,0.003
Testicular tumours,Male,10-14,0.007
Bladder,Female,05-09,0.002
Bladder,Male,05-09,0.008
Blood,Female,05-09,0.488
Blood,Male,05-09,0.793
Bone tissue sarcoma,Female,05-09,0.02
Bone tissue sarcoma,Male,05-09,0.029
Brain,Female,05-09,0.258
Brain,Male,05-09,0.363
Cervix,Female,05-09,0.001
Colorectal,Female,05-09,0.002
Colorectal,Male,05-09,0.002
Head and neck,Female,05-09,0.004
Head and neck,Male,05-09,0.007
Kidney,Female,05-09,0.111
Kidney,Male,05-09,0.093
Liver and biliary tract,Female,05-09,0.015
Liver and biliary tract,Male,05-09,0.024
Melanoma,Female,05-09,0.006
Melanoma,Male,05-09,0.004
Neuroendocrine,Female,05-09,0.002
Neuroendocrine,Male,05-09,0.002
Non small cell lung cancer,Female,05-09,0.002
Non small cell lung cancer,Male,05-09,0.002
Ovary,Female,05-09,0.014
Prostate,Male,05-09,0.001
Soft tissue sarcoma,Female,05-09,0.07
Soft tissue sarcoma,Male,05-09,0.082
Testicular tumours,Male,05-09,0.016
Bladder,Male,00-04,0.005
Blood,Female,00-04,0.27
Blood,Male,00-04,0.337
Bone tissue sarcoma,Female,00-04,0.006
Bone tissue sarcoma,Male,00-04,0.003
Brain,Female,00-04,0.152
Brain,Male,00-04,0.184
Head and neck,Female,00-04,0.002
Head and neck,Male,00-04,0.005
Kidney,Female,00-04,0.07
Kidney,Male,00-04,0.08
Liver and biliary tract,Female,00-04,0.023
Liver and biliary tract,Male,00-04,0.038
Melanoma,Male,00-04,0.001
Non small cell lung cancer,Female,00-04,0.002
Non small cell lung cancer,Male,00-04,0.005
Ovary,Female,00-04,0.004
Prostate,Male,00-04,0.001
Renal pelvis and ureter,Male,00-04,0.001
Soft tissue sarcoma,Female,00-04,0.035
Soft tissue sarcoma,Male,00-04,0.073
Testicular tumours,Male,00-04,0.024
Bladder,Female,15-19,0.003
Bladder,Male,15-19,0.004
Blood,Female,15-19,0.457
Blood,Male,15-19,0.626
Bone tissue sarcoma,Female,15-19,0.109
Bone tissue sarcoma,Male,15-19,0.125
Brain,Female,15-19,0.275
Brain,Male,15-19,0.319
Breast,Female,15-19,0.005
Cervix,Female,15-19,0.006
Colorectal,Female,15-19,0.011
Colorectal,Male,15-19,0.018
Head and neck,Female,15-19,0.039
Head and neck,Male,15-19,0.022
Kidney,Female,15-19,0.012
Kidney,Male,15-19,0.007
Liver and biliary tract,Female,15-19,0.004
Liver and biliary tract,Male,15-19,0.01
Melanoma,Female,15-19,0.022
Melanoma,Male,15-19,0.023
Neuroendocrine,Female,15-19,0.015
Neuroendocrine,Male,15-19,0.016
Non small cell lung cancer,Female,15-19,0.005
Non small cell lung cancer,Male,15-19,0.005
Ovary,Female,15-19,0.071
Pancreas,Female,15-19,0.008
Pancreas,Male,15-19,0.003
Soft tissue sarcoma,Female,15-19,0.077
Soft tissue sarcoma,Male,15-19,0.082
Stomach,Female,15-19,0.002
Stomach,Male,15-19,0.002
Testicular tumours,Male,15-19,0.064
Uterus,Female,15-19,0.002
Bladder,Female,20-24,0.023
Bladder,Male,20-24,0.033
Blood,Female,20-24,0.702
Blood,Male,20-24,0.806
Bone tissue sarcoma,Female,20-24,0.082
Bone tissue sarcoma,Male,20-24,0.109
Brain,Female,20-24,0.267
Brain,Male,20-24,0.284
Breast,Female,20-24,0.039
Cervix,Female,20-24,0.015
Colorectal,Female,20-24,0.033
Colorectal,Male,20-24,0.026
Head and neck,Female,20-24,0.056
Head and neck,Male,20-24,0.037
Kidney,Female,20-24,0.011
Kidney,Male,20-24,0.012
Liver and biliary tract,Female,20-24,0.009
Liver and biliary tract,Male,20-24,0.011
Melanoma,Female,20-24,0.164
Melanoma,Male,20-24,0.075
Neuroendocrine,Female,20-24,0.035
Neuroendocrine,Male,20-24,0.029
Non small cell lung cancer,Female,20-24,0.019
Non small cell lung cancer,Male,20-24,0.014
Oesophagus,Female,20-24,0.001
Oesophagus,Male,20-24,0.001
Ovary,Female,20-24,0.124
Pancreas,Female,20-24,0.02
Pancreas,Male,20-24,0.009
Prostate,Male,20-24,0.001
Small cell lung cancer,Female,20-24,0.001
Soft tissue sarcoma,Female,20-24,0.097
Soft tissue sarcoma,Male,20-24,0.094
Stomach,Female,20-24,0.004
Stomach,Male,20-24,0.006
Testicular tumours,Male,20-24,0.427
Uterus,Female,20-24,0.01
Bladder,Female,25-29,0.034
Bladder,Male,25-29,0.069
Blood,Female,25-29,0.839
Blood,Male,25-29,0.963
Bone tissue sarcoma,Female,25-29,0.086
Bone tissue sarcoma,Male,25-29,0.094
Brain,Female,25-29,0.49
Brain,Male,25-29,0.459
Breast,Female,25-29,0.476
Cervix,Female,25-29,0.512
Colorectal,Female,25-29,0.07
Colorectal,Male,25-29,0.079
Head and neck,Female,25-29,0.063
Head and neck,Male,25-29,0.059
Kidney,Female,25-29,0.037
Kidney,Male,25-29,0.037
Liver and biliary tract,Female,25-29,0.011
Liver and biliary tract,Male,25-29,0.015
Melanoma,Female,25-29,0.564
Melanoma,Male,25-29,0.233
Neuroendocrine,Female,25-29,0.061
Neuroendocrine,Male,25-29,0.045
Non small cell lung cancer,Female,25-29,0.032
Non small cell lung cancer,Male,25-29,0.017
